id,name,type,subtype,rarity,gorgeous,simple,elegant,lively,mature,cute,sexy,pure,warm,cool,tag1,tag2,maincolor,othercolor,category,inasuit,suit,animated,pose,img
C819,Luminous Night,coat,coat,4,B,,SS,,,A,,SS,,A,,,,,,FALSE,,FALSE,FALSE,
C820,Midnight Glory,coat,coat,3,,S,A,,S,,B,,A,,European,,,,,FALSE,,FALSE,FALSE,
C821,Midnight Glory·Gorgeous,coat,coat,4,A,,A,,SS,,S,,B,,European,,,,,FALSE,,FALSE,FALSE,
C822,Midnight Glory·Rare,coat,coat,5,S,,SS,,A,,A,,S,,European,,,,,FALSE,,FALSE,FALSE,
C823,Royal Astrologist,coat,coat,5,SS,,A,,SS,,S,,S,,European,,,,,FALSE,,FALSE,TRUE,
C824,Midnight Glory·Dream,coat,coat,5,SS,,A,,SS,,A,,A,,European,,,,,FALSE,,FALSE,FALSE,
C825,Wishing Astrologist,coat,coat,5,SS,,A,,A,,SS,,A,,European,,,,,FALSE,,FALSE,TRUE,
C826,Everlasting Company,coat,coat,4,S,,S,,,S,A,,A,,,,,,,FALSE,,FALSE,FALSE,
C827,Leisure Time,coat,coat,4,A,,SS,,,A,,S,B,,,,,,,FALSE,,FALSE,FALSE,
C828,First Violet,coat,coat,5,A,,,SS,,A,,S,S,,Fairy,,,,,FALSE,,FALSE,FALSE,
C829,Magic Gift,coat,coat,5,A,,,SS,,SS,A,,S,,Fairy,,,,,FALSE,,FALSE,TRUE,
C830,Pop Movement,coat,coat,5,A,,,SS,SS,,A,,,A,,,,,,FALSE,,FALSE,FALSE,
C831,Brilliant Unleash,coat,coat,5,A,,,SS,SS,,A,,,A,,,,,,FALSE,,FALSE,FALSE,
C832,Voice of Angel,coat,coat,5,SS,,SS,,A,,S,,,A,European,,,,,FALSE,,FALSE,FALSE,
C833,Night Lament,coat,coat,5,A,,SS,,SS,,S,,A,,Gothic,,,,,FALSE,,FALSE,FALSE,
C834,Electro Ecstasy,coat,coat,5,A,,,A,S,,SS,,,B,,,,,,FALSE,,FALSE,FALSE,
C835,Fragrance in Clothing,coat,coat,5,SS,,A,,SS,,S,,A,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C836,Light Canoe,coat,coat,5,,SS,SS,,,A,,S,,S,Modern China,,,,,FALSE,,FALSE,FALSE,
C837,Light Canoe · Blue,coat,coat,5,A,,SS,,,A,,SS,,A,Modern China,,,,,FALSE,,FALSE,FALSE,
C838,Forest Dew,coat,coat,5,A,,SS,,SS,,A,,A,,Army,,,,,FALSE,,FALSE,FALSE,
C839,Tranquil Sea,coat,coat,5,S,,SS,,SS,,A,,A,,Army,,,,,FALSE,,FALSE,FALSE,
C840,Legend of Waves,coat,coat,5,SS,,SS,,A,,S,,,A,European,,,,,FALSE,,FALSE,FALSE,
C841,Blueberry Touch,coat,coat,5,S,,,S,,SS,,A,,SS,POP,,,,,FALSE,,FALSE,FALSE,
C842,Honeydew Touch,coat,coat,5,A,,,A,,A,,SS,,SS,POP,,,,,FALSE,,FALSE,FALSE,
C843,Beyond the Eternal Night,coat,coat,5,A,,A,,SS,,SS,,A,,Army,,,,,FALSE,,FALSE,FALSE,
C844,Crystal Clear,coat,coat,5,S,,SS,,SS,,A,,A,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C845,Sweet Wrapper,coat,coat,5,,SS,A,,,S,,SS,,S,Sailor,,,,,FALSE,,FALSE,FALSE,
C846,Sweetheart Infinity,coat,coat,5,A,,,S,,S,,SS,,S,Future,,,,,FALSE,,FALSE,FALSE,
C847,Perfect Hunter,coat,coat,5,S,,,SS,,A,,SS,,A,Future,,,,,FALSE,,FALSE,TRUE,
C848,Warm Fur Coat,coat,coat,5,S,,S,,S,,SS,,A,,Evening Gown,,,,,FALSE,,FALSE,FALSE,
C849,Destiny Prologue,coat,coat,4,A,,,SS,,S,,A,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C850,Destiny Prologue·Memory,coat,coat,4,A,,,SS,,SS,,A,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C851,Glorious Chapter,coat,coat,3,,S,B,,S,,A,,,B,Britain,,,,,FALSE,,FALSE,FALSE,
C852,Glorious Chapter·Gorgeous,coat,coat,4,B,,SS,,SS,,A,,,A,Britain,,,,,FALSE,,FALSE,FALSE,
C853,Glorious Chapter·Rare,coat,coat,5,SS,,A,,S,,S,,,S,Britain,,,,,FALSE,,FALSE,FALSE,
C854,Glorious Chapter·Crimson,coat,coat,5,SS,,A,,SS,,A,,,S,Britain,,,,,FALSE,,FALSE,FALSE,
C855,Destiny Cloak,coat,coat,4,A,,SS,,SS,,A,,A,,Army,,,,,FALSE,,FALSE,FALSE,
C856,Dawn in the Valley,coat,coat,4,A,,SS,,A,,,S,,A,Unique garments of our country,,,,,FALSE,,FALSE,FALSE,
C857,Flickering Crystal,coat,coat,5,S,,,SS,,S,S,,,A,Street,,,,,FALSE,,FALSE,FALSE,
C859,Messenger Cloak,coat,coat,5,,S,,SS,A,,,S,,A,Britain,,,,,FALSE,,FALSE,FALSE,
C860,Washed Denim,coat,coat,3,B,,,S,,A,,S,,A,,,,,,FALSE,,FALSE,FALSE,
C861,Unstoppable,coat,coat,3,,S,SS,,B,,A,,B,,Britain,,,,,FALSE,,FALSE,FALSE,
C862,Unstoppable · Rare,coat,coat,4,A,,S,,SS,,A,,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C863,Unstoppable · Epic,coat,coat,5,SS,,SS,,S,,A,,S,,Britain,,,,,FALSE,,FALSE,FALSE,
C864,Unstoppable · Memory,coat,coat,5,SS,,A,,A,,SS,,S,,Britain,,,,,FALSE,,FALSE,FALSE,
C865,New Life,coat,coat,5,A,,A,,SS,,SS,,A,,Gothic,,,,,FALSE,,FALSE,FALSE,
C866,Return to Silence,coat,coat,5,A,,A,,SS,,SS,,A,,Gothic,,,,,FALSE,,FALSE,TRUE,
C867,Sea Story,coat,coat,5,A,,SS,,A,,,SS,A,,Chinese Classical,Animal,,,,FALSE,,FALSE,FALSE,
C869,New Beginning,coat,coat,4,A,,,A,SS,,S,,A,,,,,,,FALSE,,FALSE,FALSE,
C870,Light of Mundanity,coat,coat,5,A,,A,,,SS,,S,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C871,One and Only,coat,coat,5,A,,SS,,,SS,,A,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C872,Obsidian Vein,coat,coat,5,A,,,A,SS,,SS,,S,,Musician,,,,,FALSE,,FALSE,FALSE,
C873,Azure Vein,coat,coat,5,A,,,A,SS,,SS,,A,,Musician,,,,,FALSE,,FALSE,FALSE,
C874,Dim Light Shadow,coat,coat,5,A,,,SS,,SS,A,,,S,Gothic,,,,,FALSE,,FALSE,FALSE,
C875,Shawl of Feathers,coat,coat,5,A,,SS,,S,,,SS,,A,,,,,,FALSE,,FALSE,FALSE,
C876,Thundering Clash,coat,coat,5,SS,,A,,A,,SS,,A,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C877,Neon Night,coat,coat,5,S,,S,,A,,SS,,,S,Goddess,,,,,FALSE,,FALSE,FALSE,
C878,Ordinary Happiness,coat,coat,3,,S,,S,,B,,A,,A,,,,,,FALSE,,FALSE,FALSE,
C879,Frog Raincoat,coat,coat,5,,SS,,A,,A,,A,,SS,Rain,Animal,,,,FALSE,,FALSE,FALSE,
C880,Splendor,coat,coat,5,SS,,SS,,,A,,S,A,,European,,,,,FALSE,,FALSE,FALSE,
C881,Time Visit,coat,coat,4,S,,S,,A,,A,,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C882,Jungle Stars,coat,coat,4,SS,,SS,,A,,B,,A,,Britain,,,,,FALSE,,FALSE,TRUE,
C883,Extending of Time,coat,coat,4,SS,,S,,A,,A,,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C884,Star of Mine,coat,coat,4,A,,SS,,SS,,A,,A,,Britain,,,,,FALSE,,FALSE,TRUE,
C885,Best Disguise,coat,coat,4,A,,A,,SS,,S,,,A,Gothic,,,,,FALSE,,FALSE,FALSE,
C886,Perfect Honor,coat,coat,4,A,,A,,S,,SS,,,A,Gothic,,,,,FALSE,,FALSE,FALSE,
C887,Falling Feathers,coat,coat,5,SS,,S,,A,,SS,,,S,Wedding,,,,,FALSE,,FALSE,FALSE,
C888,Comfortable Breeze,coat,coat,4,S,,,SS,,S,,A,,A,Bohemia,,,,,FALSE,,FALSE,FALSE,
C889,Dynamic Rhythm,coat,coat,4,B,,,SS,,S,,A,,A,Bohemia,,,,,FALSE,,FALSE,TRUE,
C890,Ocean Wind,coat,coat,4,,S,,SS,,A,,B,,S,Swimsuit,Sun Care,,,,FALSE,,FALSE,FALSE,
C891,Blue Wave,coat,coat,4,,A,,SS,,A,,A,,SS,Swimsuit,Sun Care,,,,FALSE,,FALSE,FALSE,
C892,Starry Foam,coat,coat,4,,A,,S,,A,,A,,SS,Swimsuit,Sun Care,,,,FALSE,,FALSE,FALSE,
C893,Invisible Cape,coat,coat,5,A,,,SS,,A,SS,,A,,Animal,,,,,FALSE,,FALSE,FALSE,
C894,Red Yarn Robe,coat,coat,5,S,,SS,,SS,,S,,A,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C895,Dark Green Mist,coat,coat,5,A,,SS,,SS,,A,,S,,Chinese Classical,,,,,FALSE,,FALSE,TRUE,
C896,Dream Words,coat,coat,5,A,,SS,,,A,,SS,,S,Lolita,,,,,FALSE,,FALSE,FALSE,
C897,Hang Tough,coat,coat,5,A,,SS,,A,,S,,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C899,Quaint Hunting Suit,coat,coat,5,S,,,S,A,,A,,SS,,Traditional,,,,,FALSE,,FALSE,FALSE,
C900,Wind Flower Tail,coat,coat,5,SS,,,A,,S,,A,A,,Fairy,,,,,FALSE,,FALSE,FALSE,
C901,Lisheng's Words,coat,coat,5,S,,SS,,A,,SS,,,S,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C902,Water Bubbles,coat,coat,4,A,,A,,,SS,,S,,A,Lolita,,,,,FALSE,,FALSE,FALSE,
C903,Elegant Gauze,coat,coat,4,A,,S,,A,,,S,A,,,,,,,FALSE,,FALSE,FALSE,
C905,Feather of Purity,coat,coat,3,,S,B,,B,,S,,,A,Goddess,,,,,FALSE,,FALSE,FALSE,
C906,Feather of Purity · Gorgeous,coat,coat,4,A,,SS,,A,,SS,,,A,Goddess,,,,,FALSE,,FALSE,FALSE,
C907,Feather of Purity · Epic,coat,coat,5,SS,,A,,A,,SS,,,A,Goddess,,,,,FALSE,,FALSE,FALSE,
C908,Disappearance,coat,coat,5,A,,S,,S,,A,,,B,Modern China,,,,,FALSE,,FALSE,FALSE,
C909,Stone in Wind,coat,coat,5,SS,,S,,,A,,SS,A,,Kimono,,,,,FALSE,,FALSE,FALSE,
C910,Bamboo Recluse,coat,coat,5,SS,,A,,,SS,,A,A,,Kimono,,,,,FALSE,,FALSE,TRUE,
C911,Zither,coat,coat,5,A,,A,,SS,,SS,,S,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C912,Melody of Dead,coat,coat,4,A,,S,,A,,,S,,A,,,,,,FALSE,,FALSE,FALSE,
C913,Lasting Memory,coat,coat,4,B,,S,,A,,,SS,,A,,,,,,FALSE,,FALSE,TRUE,
C914,Momo's Cloak,coat,coat,4,B,,,S,,SS,,A,A,,Animal,,,,,FALSE,,FALSE,FALSE,
C915,Fragrant Field,coat,coat,4,A,,S,,A,,,S,,A,,,,,,FALSE,,FALSE,FALSE,
C916,Fall of Stars,coat,coat,5,A,,A,,S,,A,,,SS,Modern China,,,,,FALSE,,FALSE,FALSE,
C917,Heated Summer,coat,coat,5,A,,S,,B,,A,,,SS,Modern China,,,,,FALSE,,FALSE,TRUE,
C918,Harbinger of Justice,coat,coat,5,A,,,SS,,SS,,A,A,,Lolita,,,,,FALSE,,FALSE,FALSE,
C919,Moonlight Spell,coat,coat,5,A,,,SS,,SS,,A,A,,Lolita,Animal,,,,FALSE,,FALSE,TRUE,
C922,Perfect Maiden,coat,coat,4,A,,SS,,,SS,,B,A,,,,,,,FALSE,,FALSE,FALSE,
C923,Elegant Daughter,coat,coat,4,A,,S,,,S,,A,A,,,,,,,FALSE,,FALSE,FALSE,
C924,Autumn Breeze,coat,coat,4,SS,,S,,B,,A,,S,,Swordsman,,,,,FALSE,,FALSE,FALSE,
C925,Cotton Icing,coat,coat,5,A,,,A,,SS,,S,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C926,Glistening Waves,coat,coat,3,,S,,A,,A,S,,,B,Kimono,,,,,FALSE,,FALSE,FALSE,
C927,Glistening Waves · Gorgeous,coat,coat,4,B,,,SS,,A,SS,,,B,Kimono,,,,,FALSE,,FALSE,FALSE,
C928,Glistening Waves · Epic,coat,coat,5,SS,,,S,,A,SS,,,A,Kimono,,,,,FALSE,,FALSE,FALSE,
C929,Glistening Waves · Fiesta,coat,coat,5,SS,,,A,,S,SS,,,A,Kimono,,,,,FALSE,,FALSE,FALSE,
C930,Warm Seal,coat,coat,5,A,,,S,,S,,A,SS,,Winter,,,,,FALSE,,FALSE,FALSE,
C931,Fragrant Dumpling Store,coat,coat,5,B,,SS,,,A,,S,,A,Modern China,,,,,FALSE,,FALSE,FALSE,
C932,Lotus Dumpling Shop,coat,coat,5,A,,SS,,,A,,S,,A,Modern China,,,,,FALSE,,FALSE,TRUE,
C933,Woodland Heart ♥Elsa,coat,coat,5,,SS,SS,,A,,,A,A,,Fairy,,,,,FALSE,,FALSE,FALSE,
C934,Warm Embrace,coat,coat,5,A,,,S,,S,,A,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C935,Time Edge ♥Anna,coat,coat,5,A,,,SS,,S,,SS,A,,,,,,,FALSE,,FALSE,FALSE,
C936,Weave Dream,coat,coat,5,A,,,S,,SS,,S,A,,Kimono,,,,,FALSE,,FALSE,FALSE,
C937,Snow Sleep,coat,coat,5,A,,A,,,SS,,A,SS,,Unique garments of our country,Winter,,,,FALSE,,FALSE,FALSE,
C938,Magic Journey Departure,coat,coat,5,SS,,S,,SS,,A,,A,,,,,,,FALSE,,FALSE,FALSE,
C941,Light Circuit,coat,coat,5,,S,SS,,S,,SS,,,A,Future,,,,,FALSE,,FALSE,FALSE,
C942,Detective Incident,coat,coat,5,A,,S,,SS,,A,,A,,,,,,,FALSE,,FALSE,FALSE,
C943,New Snow,coat,coat,4,A,,S,,,S,,SS,A,,,,,,,FALSE,,FALSE,FALSE,
C944,Light Courier,coat,coat,5,A,,,SS,,SS,,A,A,,,,,,,FALSE,,FALSE,FALSE,
C945,Virtuous Heart,coat,coat,5,A,,S,,,SS,,S,SS,,Modern China,,,,,FALSE,,FALSE,FALSE,
C946,In Eyes of All,coat,coat,5,A,,S,,,A,,SS,SS,,Modern China,,,,,FALSE,,FALSE,FALSE,
C947,They Way to Win,coat,coat,5,A,,SS,,,S,,S,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C948,Silent Guardian,coat,coat,5,S,,SS,,,A,,S,S,,Britain,,,,,FALSE,,FALSE,FALSE,
C949,Snow Hare Spirit,coat,coat,5,A,,,B,,SS,,A,S,,Pajamas,,,,,FALSE,,FALSE,FALSE,
C950,Snow Hare Dream,coat,coat,5,B,,,A,,SS,,S,S,,Pajamas,,,,,FALSE,,FALSE,TRUE,
C951,Morning Breeze,coat,coat,5,S,,SS,,,A,,S,,S,Goddess,,,,,FALSE,,FALSE,FALSE,
C952,Voile Zephyr,coat,coat,5,S,,S,,A,,,SS,S,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C953,Reading in the Clouds,coat,coat,5,A,,SS,,S,,,SS,A,,,,,,,FALSE,,FALSE,FALSE,
C954,Fluttering Flowers,coat,coat,5,A,,,A,,SS,,SS,,A,Fairy,,,,,FALSE,,FALSE,FALSE,
C955,Starry Galaxy,coat,coat,5,S,,A,,SS,,SS,,,A,Street,,,,,FALSE,,FALSE,FALSE,
C956,Deep in Galaxy,coat,coat,5,A,,A,,SS,,SS,,,A,Street,,,,,FALSE,,FALSE,FALSE,
C957,Mysterious Legend,coat,coat,5,S,,SS,,S,,A,,,A,,,,,,FALSE,,FALSE,FALSE,
C958,Golden Thread,coat,coat,5,SS,,A,,SS,,A,,A,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C959,Deep Valley Night Wind,coat,coat,5,S,,S,,A,,S,,S,,Swordsman,Winter,,,,FALSE,,FALSE,FALSE,
C960,Metal Nature,coat,coat,5,A,,A,,SS,,SS,,S,,Chic,,,,,FALSE,,FALSE,FALSE,
C961,Vanity Fair,top,top,5,SSS,,SSS,,SSS,,SSS,,SSS,,Chic,,,,,FALSE,,FALSE,TRUE,
C962,Colorful Moments,coat,coat,4,A,,,S,,S,,A,,S,POP,,,,,FALSE,,FALSE,FALSE,
C963,Sea of Doom,coat,coat,4,,A,,S,A,,S,,A,,Future,,,,,FALSE,,FALSE,FALSE,
C964,Sea of Doom · Gorgeous,coat,coat,5,A,,,SS,S,,SS,,A,,Future,,,,,FALSE,,FALSE,FALSE,
C965,Sea of Doom · Light,coat,coat,5,A,,,S,A,,SS,,A,,Future,,,,,FALSE,,FALSE,FALSE,
C966,Morning Mist and Cloud,coat,coat,4,B,,SS,,A,,,SS,,A,Dryad,,,,,FALSE,,FALSE,FALSE,
C967,Ode of Dawn,coat,coat,4,A,,SS,,A,,,SS,,B,Dryad,,,,,FALSE,,FALSE,TRUE,
C968,Young Lady,coat,coat,3,A,,A,,,S,,S,A,,POP,,,,,FALSE,,FALSE,FALSE,
C969,Painful Goodbye,coat,coat,5,A,,S,,SS,,SS,,,A,,,,,,FALSE,,FALSE,FALSE,
C970,New Samsara,coat,coat,5,S,,A,,SS,,S,,,A,,,,,,FALSE,,FALSE,TRUE,
C971,Mortal String,coat,coat,5,A,,S,,,SS,S,,A,,,,,,,FALSE,,FALSE,FALSE,
C972,Neon Age,coat,coat,5,A,,,S,A,,SS,,,S,Street,,,,,FALSE,,FALSE,FALSE,
C973,Rogue Hunter,coat,coat,5,S,,,A,SS,,SS,,,A,Street,,,,,FALSE,,FALSE,TRUE,
C974,Fluffy Snow,coat,coat,3,,S,,A,,A,,B,S,,Lolita,,,,,FALSE,,FALSE,FALSE,
C975,Fluffy Snow · Rare,coat,coat,4,B,,,S,,S,,A,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C976,Fluffy Snow · Epic,coat,coat,5,S,,,A,,A,,S,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C977,Fluffy Snow · Dream,coat,coat,5,SS,,,S,,S,,A,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C978,Caprice Movement,coat,coat,4,A,,SS,,,S,,A,,A,Britain,,,,,FALSE,,FALSE,FALSE,
C979,Wonderful String Music,coat,coat,4,B,,SS,,,S,,A,,A,Britain,,,,,FALSE,,FALSE,FALSE,
C980,Unknown Mark,coat,coat,4,A,,,S,,A,SS,,,A,Sports,,,,,FALSE,,FALSE,FALSE,
C981,Unknown Mark · Summer,coat,coat,4,B,,,SS,,A,SS,,,A,Sports,,,,,FALSE,,FALSE,FALSE,
C982,Fluffy Cat Buckle · White,coat,coat,4,A,,S,,S,,,B,SS,,,,,,,FALSE,,FALSE,FALSE,
C983,Fluffy Cat Buckle · Pink,coat,coat,4,A,,SS,,A,,,A,S,,,,,,,FALSE,,FALSE,FALSE,
C984,Leather Temperature,coat,coat,4,,A,,S,A,,,A,S,,Winter,,,,,FALSE,,FALSE,FALSE,
C985,Warm Velvet,coat,coat,4,,S,,S,B,,,A,SS,,Winter,,,,,FALSE,,FALSE,FALSE,
C986,Morning Mist Gauze,coat,coat,5,A,,SS,,S,,SS,,,A,,,,,,FALSE,,FALSE,FALSE,
C987,Rose Heart,coat,coat,5,S,,SS,,A,,SS,,,A,,,,,,FALSE,,FALSE,TRUE,
C988,Dangling Scale,coat,coat,3,,S,,SS,,B,B,,,B,,,,,,FALSE,,FALSE,FALSE,
C989,Dangling Scale · Rare,coat,coat,4,A,,,S,,S,A,,,A,,,,,,FALSE,,FALSE,FALSE,
C990,Dangling Scale · Epic,coat,coat,5,SS,,,SS,,A,A,,,A,,,,,,FALSE,,FALSE,FALSE,
C991,Dangling Scale · Cyan,coat,coat,5,SS,,,SS,,A,A,,,A,,,,,,FALSE,,FALSE,FALSE,
C992,Dangling Scale · Blue,coat,coat,5,SS,,,SS,,A,B,,,S,,,,,,FALSE,,FALSE,FALSE,
C993,Dangling Scale · Yellow,coat,coat,5,SS,,,SS,,A,S,,,A,,,,,,FALSE,,FALSE,FALSE,
C994,Silver Star,coat,coat,5,SS,,SS,,S,,A,,A,,Fairy,,,,,FALSE,,FALSE,FALSE,
C995,Sound of Wind Bell,coat,coat,5,SS,,,S,,S,,A,S,,Lolita,,,,,FALSE,,FALSE,FALSE,
C996,Flow of Years,coat,coat,5,B,,SS,,,A,,SS,,A,Fairy,,,,,FALSE,,FALSE,FALSE,
C997,Lingering Fog,coat,coat,5,SS,,S,,S,,S,,,S,Gothic,Swordsman,,,,FALSE,,FALSE,FALSE,
C998,Knight's Promise,coat,coat,5,SS,,SS,,A,,A,,A,,Britain,,,,,FALSE,,FALSE,FALSE,
C1001,Harvest Gift,coat,coat,5,A,,,S,,SS,,SS,S,,Lolita,,,,,FALSE,,FALSE,FALSE,
C1002,Wheat Hemline,coat,coat,5,A,,,S,,A,,SS,A,,Lolita,,,,,FALSE,,FALSE,FALSE,
C1003,Pearl Concomitance,coat,coat,5,SS,,A,,,A,,SS,,S,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C1004,Shiny Race Course,coat,coat,5,A,,,SS,,A,,SS,,S,Lolita,,,,,FALSE,,FALSE,FALSE,
C1005,Ethereal Nebula,coat,coat,5,S,,SS,,,A,,SS,,A,Goddess,,,,,FALSE,,FALSE,FALSE,
C1006,Star Sea Echo,coat,coat,5,S,,SS,,,S,,SS,,A,Goddess,,,,,FALSE,,FALSE,TRUE,
C1007,Fantasy Preamble,coat,coat,5,S,,SS,,,S,,B,SS,,Britain,,,,,FALSE,,FALSE,FALSE,
C1008,Fantasy Preamble · Night,coat,coat,5,A,,SS,,,S,,S,SS,,Britain,,,,,FALSE,,FALSE,FALSE,
C1009,Flowing Garment,coat,coat,5,S,,SS,,A,,,SS,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C1010,Warm Engraving,coat,coat,5,SS,,A,,SS,,A,,A,,,,,,,FALSE,,FALSE,FALSE,
C1011,Lurking Threat,coat,coat,5,SS,,S,,SS,,A,,A,,European,,,,,FALSE,,FALSE,FALSE,
C1012,Wind Preface,coat,coat,5,S,,A,,A,,SS,,S,,Lolita,,,,,FALSE,,FALSE,FALSE,
C1013,Wind Dance,coat,coat,5,SSS,,S,,S,,SSS,,S,,,,,,,FALSE,,FALSE,FALSE,
C1014,Breathtaking Song,coat,coat,5,A,,,SS,,S,,SS,,A,Lolita,,,,,FALSE,,FALSE,FALSE,
C1015,Strong Support,coat,coat,4,B,,S,,SS,,,A,,A,Apron,,,,,FALSE,,FALSE,FALSE,
C1016,Game on Cloud,coat,coat,5,A,,A,,,S,,S,,A,Rain,,,,,FALSE,,FALSE,FALSE,
C1017,Monsoon Mood,coat,coat,5,S,,S,,,S,,A,,A,,,,,,FALSE,,FALSE,TRUE,
C1018,Wild Beat,coat,coat,5,A,,,S,S,,SS,,SS,,Musician,,,,,FALSE,,FALSE,FALSE,
C1019,Unknown Territory,coat,coat,4,S,,,S,A,,S,,A,,Future,,,,,FALSE,,FALSE,FALSE,
C1020,Unknown Territory · Mirror,coat,coat,4,A,,,S,B,,SS,,A,,Future,,,,,FALSE,,FALSE,FALSE,
C1021,Satisfactory Wish,coat,coat,4,A,,A,,S,,SS,,,A,Multicultural,,,,,FALSE,,FALSE,FALSE,
C1022,As Wished,coat,coat,4,A,,A,,S,,SS,,,A,Multicultural,,,,,FALSE,,FALSE,FALSE,
C1023,Poetic Autumn,coat,coat,4,B,,,SS,,S,,B,S,,,,,,,FALSE,,FALSE,FALSE,
C1024,Poetic Autumn · Autumn,coat,coat,4,B,,,SS,,SS,,A,A,,,,,,,FALSE,,FALSE,FALSE,
C1025,Vintage Pigtails,coat,coat,4,,A,A,,,S,,A,SS,,POP,,,,,FALSE,,FALSE,FALSE,
C1026,Vintage Pigtails · Purple,coat,coat,4,,S,A,,,S,,A,S,,POP,,,,,FALSE,,FALSE,FALSE,
C1027,Dull Practice,coat,coat,3,,S,,B,,A,,A,S,,Lolita,,,,,FALSE,,FALSE,FALSE,
C1028,Winter Greetings,coat,coat,4,A,,,A,,S,,A,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C1029,Retro Fashion,coat,coat,5,SS,,,A,,S,,A,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C1030,Unique Scenery,coat,coat,5,SS,,,S,,A,,S,SS,,Lolita,,,,,FALSE,,FALSE,FALSE,
C1031,Millennium Miluo River,coat,coat,5,,A,,A,,S,,SS,,A,,,,,,FALSE,,FALSE,FALSE,
C1032,Musical Sound,coat,coat,5,,A,,SS,,SS,,A,,A,Animal,,,,,FALSE,,FALSE,TRUE,
C1033,Luxury Banquet,coat,coat,5,A,,SS,,S,,S,,SS,,Evening Gown,,,,,FALSE,,FALSE,FALSE,
C1034,Orchid Nectar,coat,coat,5,A,,A,,,SS,,SS,S,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C1035,Free Traveler,coat,coat,5,SS,,A,,SS,,A,,A,,Chinese Classical,Unisex,,,,FALSE,,FALSE,FALSE,
C1036,Dust in Wind,coat,coat,5,A,,S,,S,,S,,S,,Britain,,,,,FALSE,,FALSE,FALSE,
C1037,Accident Encounter,coat,coat,5,A,,S,,SS,,SS,,,A,Gothic,,,,,FALSE,,FALSE,FALSE,
C1038,Forest Spirit,coat,coat,5,A,,SS,,A,,SS,,,S,Gothic,,,,,FALSE,,FALSE,TRUE,
C1039,Colorful Future,coat,coat,5,A,,,SS,,A,A,,SS,,,,,,,FALSE,,FALSE,FALSE,
C1040,Rainforest Dream,coat,coat,5,SS,,SS,,,A,A,,,A,Sun Care,Bohemia,,,,FALSE,,FALSE,FALSE,
C1041,Ultimate Pursuit,coat,coat,3,A,,,S,,S,A,,,A,POP,,,,,FALSE,,FALSE,FALSE,
C1042,Star Track in Deep Space,coat,coat,5,S,,S,,SS,,A,,,S,Britain,,,,,FALSE,,FALSE,FALSE,
C1043,Sound of Snow,coat,coat,5,S,,,S,,S,,SS,,S,Sailor,,,,,FALSE,,FALSE,FALSE,
C1044,Bright and Brilliant,coat,coat,4,,SS,S,,,A,,A,,B,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C1045,Tasting Poison in Honey,coat,coat,5,A,,SS,,SS,,S,,,A,Evening Gown,,,,,FALSE,,FALSE,FALSE,
C1046,Golden Brew,coat,coat,5,A,,SS,,A,,SS,,S,,Traditional,,,,,FALSE,,FALSE,FALSE,
C1050,Sweet Cotton,coat,coat,5,,A,,SS,,A,,A,SS,,POP,,,,,FALSE,,FALSE,FALSE,
C1051,Good Morning,coat,coat,5,,A,,SS,,SS,,A,A,,POP,,,,,FALSE,,FALSE,TRUE,
C1052,Evil in Fairy Tale,coat,coat,5,A,,S,,,SS,,S,S,,Britain,,,,,FALSE,,FALSE,FALSE,
C1053,Full of Letters,coat,coat,4,A,,S,,,A,,SS,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
C1054,Symbol of Grace,coat,coat,5,SS,,A,,,SS,,S,A,,European,,,,,FALSE,,FALSE,FALSE,
C1055,Praise of Diligent,coat,coat,5,S,,SS,,,SS,,A,A,,European,Apron,,,,FALSE,,FALSE,FALSE,
