id,name,type,subtype,rarity,gorgeous,simple,elegant,lively,mature,cute,sexy,pure,warm,cool,tag1,tag2,maincolor,othercolor,tertiarycolor,category,suit,inasuit,animated,pose,desc
41012,Lab Assistant,top,top,3,,A,,B,S,,S,,,B,,,Blue,Orange,,Gallery,Lab Assistant,TRUE,FALSE,FALSE,This is the uniform of the experiment assistants in the Silver Island Technology R&D Company.
41013,Perfect Maid,top,top,5,A,,SS,,,A,,SS,,B,Lolita,,White,Black,,Pigeon,Nija's Invitation,TRUE,FALSE,FALSE,Nija is the most perfect maid I have ever met. She always has a sincere smile on her face that can heal every scar.
41014,Perfect Maid · Thought,top,top,5,S,,SS,,,B,,SS,,S,Lolita,,Brown,White,,,,FALSE,FALSE,FALSE,How perfect is Nija? I suddenly notice a detail. Even the curve of her every smile is exactly the same.
41015,Perfect Maid · Twilight,top,top,5,A,,SS,,,S,,S,,S,Lolita,,Black,Red,,,,FALSE,FALSE,FALSE,The pain of distortion plunges the soul into hell. The visitor's face freezes with the horrified expression.
41016,Farewell Song,top,top,5,A,,A,,SS,,SS,,,A,Dancer,,White,Yellow,,Cloud,Sound in Dance Hall,TRUE,FALSE,FALSE,It’s said that the owner once boasted that he could complete a performance that didn’t exist in the world.
41017,Origin of the World,top,top,4,A,,,A,S,,SS,,,B,,,Silver,Black,,Cloud,Road of Justice,TRUE,FALSE,FALSE,The decrepit alley often has thieves. A family robbed multiple times starts to suspect the mysterious girl.
41018,Future Space,top,top,4,,A,,SS,,B,,S,,A,,,White,Blue,,,,FALSE,FALSE,FALSE,How will people define clothes in the near future? Designer from the island ruins created this simplist set with the new bionic technology.
41019,Emerald Stream,top,top,5,A,,A,,,SS,,SS,,B,Modern China,,Blue,Silver,,Festivals,Aroma of Rice-dumpling,TRUE,FALSE,FALSE,A green pavilion suddenly appears as young Xiaoxiang was collection bamboo leaves for her dumplings in the forest.
41020,Warm Song in Air,top,top,5,A,,,SS,,S,,A,S,,Lolita,,Pink,Blue,,Festivals,Innocence Dreamland,TRUE,FALSE,FALSE,Bear Nick is what Chichi exchanges with the books at flea market. It's arranged to sit with crooked-nosed bunny.
41022,Quiet and Fragrant,top,top,4,,S,B,,,A,,S,,A,POP,,Pink,White,,Gallery,Quiet and Fragrant,TRUE,FALSE,FALSE,She enjoys this moment after a busy day. Not far away comes the laughter of kids to add much fun to the quiet air.
41023,Shiba's Autumn,top,top,4,A,,,A,,S,,A,SS,,,,White,Brown,,Apple,Lively Shiba,TRUE,FALSE,FALSE,"One autumn morning, Xiaoqiu meets Shiba like two destined stars. From then on, Xiaoqiu's story has a touch more color."
41024,Shiba's Adventure,top,top,4,A,,,SS,,SS,,A,A,,,,Brown,White,,Apple,Lively Shiba,TRUE,FALSE,TRUE,"Xiaoqiu paints one adventure after another. The Shiba she paints is smart and brave, always running happily forward."
41025,Shiba's Winter,top,top,4,B,,,A,,S,,A,SS,,,,Silver,White,,,,FALSE,FALSE,FALSE,"In the afternoon, Sheriff and his friends square to exchange the information they have collected."
41026,Legend of Shiba,top,top,4,A,,,SS,,S,,A,A,,,,Purple,White,,,,FALSE,FALSE,TRUE,The police take away the unconscious man. Sheriff obediently squats at its master's feet with a smile.
41027,Night Star Light,top,top,3,,B,S,,,A,,S,,B,,,Blue,White,,Gallery,Night Star Light,TRUE,FALSE,FALSE,"She'd failed her mission of exploring the stars. As she grew older, she forgot her old dreams and lived an uneventful life."
41028,Fresh Atmosphere,top,top,5,A,,S,,,S,,A,,SS,Floral,,Blue,White,,Apple,Sunny Wind,TRUE,FALSE,FALSE,Smell is a way to feel happiness. Lanny has traveled around the world to look for all kinds of fresh smells .
41029,The Creation,top,top,4,,A,S,,,S,A,,,S,,,Brown,White,,Apple,Abstract World,TRUE,FALSE,FALSE,"Absolutely, Momo is the first model of Nikki, but as soon as it lies on the chair, it falls asleep."
41030,Refreshing Sea Breeze,top,top,5,,A,,A,,SS,,S,,SS,,,Red,Pink,,Apple,Watermelon Soda,TRUE,FALSE,FALSE,"Xin Ya, now healthy, puts the cute pill box away carefully and decides to treat this kind person to a big meal."
41031,Heavenly Blessing,top,top,5,A,,A,,SS,,SS,,,A,Multicultural,,Brown,Red,,Wasteland,Goddess of Peace,TRUE,FALSE,FALSE,"If believers pray in reverence, the goddess will dance in the temple; otherwise they will be banished forever."
41032,Gift for Sinner,top,top,5,A,,A,,SS,,SS,,,A,Britain,,Black,Silver,,Apple,Fragrant Rose Banquet,TRUE,FALSE,FALSE,"Sometimes people can't see her, but when they pass by her, they hear the whisper of the devil."
41033,Bubble Envelope,top,top,5,A,,,SS,,S,,A,,A,POP,,Purple,White,,Apple,Splendid Silhouettes,TRUE,FALSE,FALSE,Chopsticks with wings won't fit into lunch boxes. That's fine. She'll just custom-make a special bag!
41034,Flame of Freedom,top,top,3,,A,,A,S,,S,,,A,Unisex,,Silver,Black,,Gallery,Uninhibited Wind,TRUE,FALSE,FALSE,"Until she meets her destined opponent—her other self on the other side. The unrestrained red, like fire, meets the black."
41035,Orange Sky,top,top,4,,A,,SS,,B,,SS,,B,POP,,Brown,Yellow,,Apple,A Sunny Day,TRUE,FALSE,FALSE,"Using the sky as a background and dividing the scene with colors, Nikki takes out her notebook and records the scene."
41036,Racing at Full Speed,top,top,5,A,,,SS,,S,SS,,,A,Future,,Brown,White,,Story Suits,Rapid Star Trip,TRUE,FALSE,FALSE,"Inspired by the racing champion Sheeran, Mercury Girl is like a gust of wind, fearlessly racing against all obstacles."
41037,Message from the Wind,top,top,5,A,,SS,,S,,SS,,,A,Traditional,,Silver,Pink,,Story Suits,Sunset Glow with Song,TRUE,FALSE,FALSE,"A few years later, the beauty from the Cloud gave birth to a pair of twins with similar looks but different skin tones."
41308,Misty Cloud,top,top,5,S,,SS,,B,,SS,,,S,Traditional,,Silver,Blue,,Story Suits,Luna Ballad,TRUE,FALSE,FALSE,"As soon as the twins arrive, they run into a competition, but what their mother taught them is just the basics."
41309,Lily-white Poem,top,top,5,A,,S,,,S,,SS,,A,Dryad,,White,Silver,,Apple,Dawn Glimmer,TRUE,FALSE,FALSE,The most stringent education has given her extraordinary demeanor. No doubt that Ransa will become the best politician.
41310,Lily-white Poem · Message,top,top,5,S,,A,,,SS,,SS,,A,Dryad,,White,Silver,,,,FALSE,FALSE,FALSE,Furdo has been weak since she was a child. The devotion to something she loves also makes her pale life more colorful.
41311,Lily-white Poem · Time,top,top,5,A,,S,,,S,,S,,S,Dryad,,Brown,Yellow,,,,FALSE,FALSE,FALSE,"Everyone is chasing something big, but Furdo is dedicated to small plants. The contrast is so stark."
41312,Emptiness in Mirror,top,top,5,A,,SS,,A,,,SS,,A,Chinese Classical,,Blue,White,,Cloud,Dream in Musical Garden,TRUE,FALSE,FALSE,"She has been praised for her brilliant portrayal of the role, but now she can't quite see herself in the mirror."
41313,Spiral Silk Road,top,top,5,S,,S,,SS,,SS,,,A,Multicultural,,Brown,Yellow,,Wasteland,Contract of Sand Sea,TRUE,FALSE,FALSE,"The merchant stumbles to the goddess. In a hoarse voice, he appeals to the goddess for help."
41314,Sewing Beauty,top,top,5,A,,A,,,SS,,SS,,A,Chinese Classical,,Pink,White,,Festivals,Pairs and Couples,TRUE,FALSE,FALSE,"Hongxiu lights a lamp and keeps working on the handkerchief, not realizing that the moon has risen."
41315,Sacred Messenger,top,top,5,A,,SS,,,A,,S,,A,Chinese Classical,,White,Blue,,Festivals,Pairs and Couples,TRUE,FALSE,TRUE,"Legends say after they die, the birds in the embroidery come alive and fly in circles, like two lovers whispering."
41316,Fresh-cut Tomato,top,top,4,A,,,A,,S,,S,,A,POP,,Red,Pink,,Apple,Sweet and Sour,TRUE,FALSE,FALSE,Remove unnecessary weight and follow your heart. Simplicity is what summer is all about.
41317,Sound of Blue Sea,top,top,5,S,,,A,,SS,,SS,,A,Fairy,,Blue,White,,Lilith,Poem of Wave,TRUE,FALSE,FALSE,"It is said that wonders will happen when the sea meets the sky. Mustard was born at this moment, full of curiosity."
41318,Blue Sea Songs,top,top,5,A,,,A,,SS,,SS,,A,Fairy,,Blue,Silver,,Lilith,Poem of Wave,TRUE,FALSE,FALSE,Mustard wants to become the Brave and reclaim her treasure. She packs her bags and sets out on her journey.
41319,Antique Mystery,top,top,5,S,,SS,,,SS,A,,A,,Preppy,,Silver,White,,Pigeon,Ashy Dream,TRUE,FALSE,FALSE,"Carol, a famous detective, has just returned to the city. There are no crimes that her eyes can't see."
41320,Wild Sweetheart,top,top,4,B,,,S,,A,SS,,,A,POP,Sports,Blue,Silver,,Gallery,Sweet Kitty Love Hint,TRUE,FALSE,FALSE,"Cats are not clingy. They're the cutest creatures in this world, and no one can resist them."
41321,Wild Sweetheart · Purple,top,top,4,A,,,SS,,A,S,,,B,POP,Sports,Blue,White,,,,FALSE,FALSE,FALSE,"Cuteness is justice. Even if we get into trouble, we can get out of it because we're cute."
41322,Wild Sweetheart · White,top,top,4,A,,,S,,A,S,,,A,POP,Sports,Brown,Yellow,,,,FALSE,FALSE,FALSE,"If there's anything that remains sweet all year round, then it's cats. When a cat runs toward you, don't flinch."
41323,Wild Sweetheart · Brown,top,top,4,A,,,SS,,A,S,,,A,POP,Sports,Brown,Black,,,,FALSE,FALSE,FALSE,Why do I like candies so much? Maybe I simply can't resist their sweetness.
41324,White Silence,top,top,4,A,,,S,S,,,S,,B,Traditional,,White,Silver,,Wasteland,Dream Traveler,TRUE,FALSE,FALSE,"After her parents fell victim to nightmares and passed away, Dyah learned spells from the tribe priest to guard."
41325,White Silence · Twilight,top,top,4,A,,,SS,A,,,S,,A,Traditional,,Silver,Yellow,,,,FALSE,FALSE,FALSE,"Finally, Dyah finds the flaw. The patterns on the cloak are the same as the dreamcatcher that she gave to the girl."
41326,White Silence · Sky,top,top,4,A,,,SS,A,,,S,,A,Traditional,,Blue,Silver,,,,FALSE,FALSE,FALSE,"Now that they are living that life, but in a dream that the nightmare created. Are they truly happy or not?"
41327,Tender Smile,top,top,4,,A,,SS,,S,,A,,B,POP,,White,Pink,,Lilith,Amazing Pastry Chef,TRUE,FALSE,FALSE,"For several days in a row, the young owner sees the same young gentleman with the same smile in the morning."
41328,Tender Smile · Secret,top,top,4,,A,,S,,S,,A,,A,POP,,Blue,Silver,,,,FALSE,FALSE,FALSE,"Next to this confectionary is another, owned by a young girl. Their desserts differ in style, but taste equally good."
41329,Tender Smile · Forest,top,top,4,,A,,S,,SS,,A,,A,POP,,White,Yellow,,,,FALSE,FALSE,FALSE,Raccoons realize that the birds are already in line. But the owner has prepared delicious nuts for them.
41330,Determined Soul,top,top,5,A,,A,,SS,,SS,,B,,,,Red,Green,,Cloud,Spirit Suppress Spell,TRUE,FALSE,FALSE,"As a ghostbuster, she feels duty bound to eliminate the demon plaguing this place for a long time."
41331,Steadfast in Mist,top,top,5,A,,SS,,S,,A,,A,,,,Red,Green,,Cloud,Spirit Suppress Spell,TRUE,FALSE,TRUE,"Surrounded by thick mist, the girl remains calm. She knows she has found her foe when the scroll shimmers."
41332,Determined Soul · Pure,top,top,5,A,,A,,S,,SS,,A,,,,Black,Blue,,,,FALSE,FALSE,FALSE,"Determined to kill all the demons, she bravely fights against the vicious Black Wind Monster but is failing."
41333,Steadfast in Mist · Pure,top,top,5,A,,S,,SS,,A,,A,,,,Black,Brown,,,,FALSE,FALSE,TRUE,"Many years later, a legend has it that a couple of a human and a fairy are protecting people from demons."
41334,Moon and Stars,top,top,5,A,,,SS,,SS,S,,A,,Fairy,,Pink,Brown,,Lilith,Journey Through Wind,TRUE,FALSE,FALSE,The glass globe will magically open when the Prince finds his one and only rose to make her bloom forever.
41335,Street Commander,top,top,5,A,,,S,,SS,A,,,A,Street,,Blue,Black,,Apple,Dazzling Commander,TRUE,FALSE,FALSE,"The more difficulties there are, the more competitive I am! I bet my honor as a commander on driving chaos out of this street."
41336,Beautiful Mood,top,top,5,A,,,SS,,S,A,,,A,Street,,Brown,Blue,,,,FALSE,FALSE,TRUE,"Today, the intersection that I am in charge of is orderly as usual. Praise from the boss made my steps even lighter!"
41337,Trainee Commander,top,top,5,A,,,SS,,SS,A,,,A,Street,,Gold,White,,,,FALSE,FALSE,FALSE,"Silently reciting the command code twice, I pat my chest to relax and stand up straight on the platform. Get started!"
41338,Lighthearted,top,top,5,A,,,SS,,S,A,,,A,Street,,Brown,White,,,,FALSE,FALSE,TRUE,"My colleague raises the sign in time, and the car finally stops. My first day as a trainee was a complete success!"
41339,Heartful Embroidery,top,top,4,A,,S,,A,,,SS,,A,Modern China,,Brown,Blue,,,,FALSE,FALSE,FALSE,"The new teacher has impeccable handwriting. To everyone's surprise, she becomes their favorite in just a few months."
41340,Autumn Candle,top,top,4,B,,A,,,SS,,S,,A,,,Brown,Yellow,,,,FALSE,FALSE,FALSE,A candle of nostalgia was lightened in the autumn. It warmed the night with the wind.
41341,Old Dream of Leaf,top,top,3,A,,B,,,S,,S,,A,,,Green,White,,Gallery,Old Dream on Leaf,TRUE,FALSE,FALSE,"Not everything in her memories and dreams is happy, but she remembers that when she lacked inspiration, the vines outside were dyed green by the winter, giving her the consolation she needed."
41342,Deep Seabed,top,top,5,S,,A,,,S,,SS,,A,Pajamas,,White,Blue,,Lilith,Dreamy Island,TRUE,FALSE,FALSE,"She is the first and only illuminant in the tranquil deep ocean, shining like a star."
41343,Brilliant Feast,top,top,6,S,,SS,,A,,SS,,A,,European,,Brown,White,,Luxury,Splendid Dream,TRUE,FALSE,FALSE,"The music never ceased over the years. As a princess, Elle often stood apart from the crowd, observing quietly."
41344,Battle Ranger,top,top,5,A,,A,,SS,,SS,,,A,Britain,,Brown,Red,,Pigeon,Red Shadow Ranger,TRUE,FALSE,FALSE,"She understands that the illusion of peace stops at the gate. Outside, violence is the only way to remain safe."
41345,Monochrome Hunting Ground,top,top,5,B,,A,,SS,,SS,,A,,Britain,,Brown,Black,,Pigeon,Pirate of Headwind,TRUE,FALSE,FALSE,Conquering the sea is a walk in the park for Renee. She needs to find more exciting hunting grounds to exhaust herself.
41346,Message of Flowers,top,top,4,,SS,B,,S,,,A,A,,Dryad,,White,Brown,,4 Seasons,Deer in the Woods,TRUE,FALSE,FALSE,They wander through the woods and the wild. The crops swaying in the wind hold the promise of a bountiful harvest.
41347,Message of Parasol,top,top,4,,S,B,,SS,,,A,A,,Dryad,,White,Silver,,,,FALSE,FALSE,FALSE,Morning bird chirps rouse them up as a breeze rustles the foliage. The girl's hair is bathed in the rosy dawn light.
41348,Night Poppy,top,top,4,,B,,SS,SS,,A,,,A,Gothic,,Silver,Brown,,Festivals,Demon of the night,TRUE,FALSE,FALSE,"Lurking in the shadows, she lures those who're not home yet into her traps and makes them her slaves."
41351,Sonatina of Backlight,top,top,5,A,,,S,SS,,S,,,S,Musician,,Black,Yellow,,Apple,Sonatina of Backlight,TRUE,FALSE,FALSE,"Before Jee's first music festival challenge, no one thought this little-known girl could play such beautiful music."
41352,Upcoming Dawn,top,top,5,S,,SS,,S,,,S,A,,Chinese Classical,,White,Silver,,Cloud,Painting Master,TRUE,FALSE,FALSE,"Yaoyao, Yaoyao.' A parrot flaps its wings and calls her name as if to remind her that it is time to rest."
41353,Foggy Starlight,top,top,5,S,,A,,SS,,SS,,,A,Fairy,,Brown,Black,,Festivals,Magic Flower Fantasy,TRUE,FALSE,FALSE,"Bessie is the daughter of the Devil King. She lives in the ancient castle deep in the forest, where stars don't shine."
41354,Snow Ends Everything,top,top,5,S,,S,,SS,,A,,A,,Gothic,,White,Silver,,Lilith,Polar Day Echo,TRUE,FALSE,FALSE,"Neva has been to many places before. They don't mean much to her, as they're merely destinations for her missions."
41355,Cut the Night,top,top,5,A,,A,,SS,,SS,,,S,Swordsman,,Silver,Black,,North,Shadow Blade,TRUE,FALSE,FALSE,"An unidentified thief takes pleasure in stealing rare materials. Based on previous records, he is a recidivist."
41356,Obscure Love,top,top,5,A,,SS,,,A,,S,A,,Floral,,Blue,White,,Pigeon,Elegant Bloom,TRUE,FALSE,FALSE,"The girl and the boy used to walk and talk on the field. In this early spring, they were touched with each other."
41357,Dresden Town,top,top,5,A,,,S,,SS,,A,,S,,,Brown,Yellow,,Lilith,Cute Mouse Game,TRUE,FALSE,FALSE,It's the smell of the unique scent belonging to the Dulles town. It's known for its 24-hour candy stores.
41358,Sweet Polka,top,top,4,A,,,A,,S,,S,,S,POP,,Pink,Red,,Gallery,Carefree Sweet Berries,TRUE,FALSE,FALSE,"As the host of charity sale, she carefully arranges the desserts, and the sweetness of the icing melts in the wind."
41359,Wonderful Moment,top,top,4,A,,,S,SS,,,A,,A,Sports,Street,Blue,Black,,Apple,Sports Fashion,TRUE,FALSE,FALSE,"When I walk into the course, they cheer for me. I know they are expecting every exciting moment I show myself."
41360,Wonderful Moment·White,top,top,4,A,,,SS,S,,,A,,B,Sports,Street,White,Silver,,,,FALSE,FALSE,FALSE,"The applause appears firstly. She stops to look outside, finds that it is a passerby who cheers for her."
41361,Icy Fragrance,top,top,3,,B,S,,,A,,A,S,,Winter,,White,Blue,,Gallery,Snowflake Perfume,TRUE,FALSE,FALSE,"The cold wind blows through the courtyard, and the last piece of yellow leaf falls off the branches reluctantly."
41362,Plum Branch,top,top,5,A,,SS,,SS,,A,,S,,Kimono,,Red,Silver,,Cloud,Snow Beauty,TRUE,FALSE,FALSE,The winter was long and silent. The snow brought away the final trace of warmth. I heard of a ring tone in the wind.
41363,Hear the Whisper,top,top,3,,S,A,,S,,,A,B,,Chic,,White,Silver,,Gallery,Guardian of Innocence,TRUE,FALSE,FALSE,"She seems to possess natural attraction and affinity to the children, even to the most mischievous ones."
41364,Persimmon in Autumn,top,top,5,,A,,B,,S,,A,S,,Winter,,Brown,Orange,,Apple,Ripe Persimmons,TRUE,FALSE,FALSE,"The guests are a group of little animals. Bringing in flowers and leaves, they place them on the seat of the girl."
41365,Tea Party in Autumn,top,top,5,,A,,B,,S,,A,S,,Winter,,Brown,Orange,,Apple,Ripe Persimmons,TRUE,FALSE,TRUE,The girl distributes the jam in glass jars to the animals. They promise to meet here next autumn.
41366,Golden Light in Hand,top,top,5,A,,SS,,S,,,S,A,,,,Blue,Green,,Apple,Bright Golden Autumn,TRUE,FALSE,FALSE,"Her family also flourished in the distant past, just like the golden ginkgo family crest, with magnificent history."
41367,Tender Promise,top,top,5,B,,SS,,A,,,SS,A,,,,Blue,Brown,,Apple,Bright Golden Autumn,TRUE,FALSE,TRUE,"Autumn's wind always brings the ginkgo nuts and promises from him, which have become her tenderest reliance."
41368,Rising Star of Tomorrow,top,top,3,,S,,B,,S,A,,,A,,,White,Blue,,,,FALSE,FALSE,FALSE,"The competition of 'Star of Tomorrow' is about to begin, and the young girls on the poster attracts many passers-by."
41369,Rising Star of Tomorrow - Gorgeous,top,top,4,B,,,S,,S,S,,,A,,,White,Blue,,,,FALSE,FALSE,FALSE,She performs with her best state and all eyes light up. Her bright smile brings laughter to the audience.
41370,Rising Star of Tomorrow - Treasured,top,top,5,SS,,,A,,S,SS,,,B,,,Blue,White,,Lilith,Marvelous Tour,TRUE,FALSE,FALSE,"As the curtain is drawn, she shows up in her fancy dress. The long staff in her hand shines, and all audience cheer."
41371,Rising Star of Tomorrow - Dream,top,top,5,SS,,,A,,S,SS,,,A,,,White,Blue,,,,FALSE,FALSE,FALSE,"As her partner, in numerous days of hard training and even injury, they are the solid support of each other."
41372,Mood of the Sky,top,top,5,A,,A,,SS,,SS,,,A,Chinese Classical,,Blue,Silver,,Stars,Aldebaran,TRUE,FALSE,FALSE,Changes in weather and the circulation of the world are closely related. It is the unity of heaven and earth.
41374,Little Happy Time,top,top,3,,A,B,,,S,,S,,A,POP,,White,Blue,,Gallery,Summer Picnic,TRUE,FALSE,FALSE,"This wide lawn is flat, emitting the fragrance of plants. With the breeze blowing, the children are playing."
41375,Best Wish,top,top,5,A,,A,,,SS,,SS,A,,Chinese Classical,,Pink,White,,Festivals,Beautiful Moment,TRUE,FALSE,FALSE,"Zhu Ruosheng sents the tea. Enjoying the tea and the dessert, Nikki talks about the anecdotes during the trip."
41376,Everything in New,top,top,5,B,,SS,,,A,,SS,A,,Chinese Classical,,White,Pink,,Festivals,Beautiful Moment,TRUE,FALSE,TRUE,"The warm stove collects the happiness from everyone and records this moment, collecting the joyful part in the memory."
41377,Drifting Fantasy,top,top,5,S,,A,,,S,,SS,A,,Britain,,Yellow,Green,,Lilith,Drifting Fairy Tale,TRUE,FALSE,FALSE,"The Hayden library is full of dreams. The joy, wonder and fantasy lure Amber into the ocean of books."
41378,Time Flower Room,top,top,5,A,,,SS,,SS,,A,S,,Lolita,,Brown,White,,Lilith,Puppy Milk Foam,TRUE,FALSE,FALSE,"The early evening was always stretched out. Teresa bought cotton candy and went home with her best friend, Marshmallow."
41379,Fearless Attitude,top,top,4,,A,,S,,A,S,,,A,Sports,,Yellow,Brown,,Gallery,Cool Girl,TRUE,FALSE,FALSE,Why the dangerous sport of skateboarding? Probably related to her love of challenges and never giving up her character.
41380,Basic Etiquette,top,top,3,,B,S,,,S,B,,,A,,,Silver,Black,,Gallery,Elegant Spirit,TRUE,FALSE,FALSE,"The cuffs and hem make the sleeveless shirt with simple line cuter. With a chic bow, it gets much more elegant."
41381,Elegant Manners,top,top,4,A,,S,,S,,,A,A,,Chic,,Brown,Red,,Gallery,Style creation,TRUE,FALSE,FALSE,"At the balls, the noblewomen flaunt the expensive jewels and take pride in their acquaintance with dignitaries."
41382,Soft Snow Ball,top,top,4,A,,A,,,S,,SS,A,,POP,Winter,Pink,White,,Gallery,Plush Snowball,TRUE,FALSE,FALSE,The snow falls finely on the hair and skirts. She can't help but think of those snowy nights when she walked with him.
41383,Precise Instructions,top,top,5,,A,,SS,,SS,,A,A,,,,Yellow,Black,,Ruin,Cute Bunny Mechanic,TRUE,FALSE,FALSE,It is frightening to face brutal killing. The real experience brought by technology is brought to the extreme.
41384,Folded Petals,top,top,5,SS,,A,,,SS,,S,,A,,,White,Pink,,Pigeon,Dreams and Butterflies,TRUE,FALSE,FALSE,"The butterfly elf's home is built in a cold, deep stone cave. The stone takes away the sunshine and fresh air."
41385,Silent Watcher,top,top,4,A,,,SS,B,,,SS,A,,Traditional,,Brown,White,,Wasteland,Stellar Prophecy,TRUE,FALSE,FALSE,"She does not fear loneliness or death, but only worries that her foster parents, who love her deeply, will get hurt."
41386,Silent Watcher - Passion,top,top,4,A,,,SS,A,,,S,A,,Traditional,,Brown,Red,,,,FALSE,FALSE,FALSE,She does not have deep affection for the tribe expelling her. She only wants to know where her foster parents are now.
41387,Silent Watcher - Silence,top,top,4,B,,,SS,B,,,SS,A,,Traditional,,Blue,Silver,,,,FALSE,FALSE,FALSE,Shanado has seen how terrible the end is. She closes her eyes reverently and prays to the silent starry sky.
41388,Uphold the Conviction,top,top,4,,S,A,,B,,,S,A,,,,White,Silver,,Apple,News Tracker,TRUE,FALSE,FALSE,"She can dispel all interfering items. No matter how bizarre the remaining answer is, it must be the truth."
41389,Uphold the Conviction - Black,top,top,4,,S,A,,A,,,SS,B,,,,Red,Brown,,,,FALSE,FALSE,FALSE,"With his skillful movements, the aroma of black coffee emits in all directions. Skyline hands him her business card."
41390,Uphold the Conviction - Orange,top,top,4,,S,A,,A,,,SS,B,,,,Orange,Brown,,,,FALSE,FALSE,FALSE,"Big news always tampers one's judgment, and even Skyline is misled by it. Fortunately, she continues to be rational."
41391,Soft Cloth,top,top,4,A,,,SS,,S,A,,,A,Animal,,Silver,White,,Apple,Cute Leopard Attack,TRUE,FALSE,FALSE,"The boy runs down the narrow alley. Swallowed by darkness, he is followed by yelling and harsh roar of motorcycles."
41392,Soft Cloth - Yellow,top,top,4,B,,,SS,,SS,A,,,A,Animal,,Brown,Blue,,,,FALSE,FALSE,FALSE,"Rumors about her are abounding, as if everyone has met such a young girl, who is smart, brave, powerful and unrighteous."
41393,Soft Cloth - Pink,top,top,4,A,,,SS,,S,A,,,A,Animal,,Pink,Red,,,,FALSE,FALSE,FALSE,"The owner takes out a piece of new cloth and places it on the table with a smile, 'With your favorite spots on it.'"
41394,Milk Tea Love Letter,top,top,4,,A,S,,S,,,A,B,,,,Brown,White,,Gallery,Autumn Rendezvous,TRUE,FALSE,FALSE,"This is the first time they have been apart. In her spare time, Joya expresses her thoughts through numerous poems."
41395,Milk Tea Love Letter - Maple,top,top,4,,A,S,,S,,,A,B,,,,Brown,Yellow,,,,FALSE,FALSE,FALSE,It is the first time they have been separated. But she doesn't feel lonely because she has received a letter with poems.
41396,Milk Tea Love Letter - Tan,top,top,4,,A,SS,,SS,,,B,A,,,,Brown,White,,,,FALSE,FALSE,FALSE,"They met at a young age. When they were in elementary school, Joya folded a hundred stars and made a small wish."
41397,Milk Tea Love Letter - Frost,top,top,4,,A,S,,SS,,,A,A,,,,Blue,Silver,,,,FALSE,FALSE,FALSE,"They met at a young age. When they were in elementary school, Achi saw Joya folded 100 stars and made a wish."
41398,Pure Bright Poem,top,top,3,S,,,A,,S,,A,A,,,,White,Silver,,,,FALSE,FALSE,FALSE,"Tarola never believes rumor. There are countless unbelievable stories in the world, of which few can be taken seriously."
41399,Pure Bright Poem - Gorgeous,top,top,4,SS,,,A,,S,,A,B,,,,White,Silver,,,,FALSE,FALSE,FALSE,"Stepping upwards, she hears the sound of the piano. The story will be scarier with this, right?"
41400,Pure Bright Poem - Epic,top,top,5,SS,,,A,,SS,,S,B,,,,White,Blue,,Lilith,Poem of the Moon,TRUE,FALSE,FALSE,Anita has special perception of music. Sound is the carrier of emotion. She wants to strike everyone's heart string.
41401,Pure Bright Poem - Jade,top,top,5,SS,,,A,,S,,S,A,,,,Green,Yellow,,,,FALSE,FALSE,FALSE,"Along with the change of time, the rumor also evolves. The sound of wind blowing through the treetops remains the same."
41402,Pure Bright Poem - Light Tea,top,top,5,SS,,,A,,SS,,A,A,,,,White,Brown,,,,FALSE,FALSE,FALSE,"This time, what surround them are not only the clock tower and night wind, but also the lights, cheers and screams."
41404,Lukewarm Mist,top,top,5,S,,S,,,SS,,S,A,,,,Red,Brown,,Festivals,Snow Praise,TRUE,FALSE,FALSE,"Smoke billowing from the fireplace and oven, Shino stepped on the clouds and passed through the human village."
41405,Snowy Night Chapter,top,top,5,S,,S,,,SS,,A,,A,,,Blue,White,,Pigeon,Chase the light,TRUE,FALSE,FALSE,"The snow in the sky has soiled the world with flawless whiteness, it's a dream that only belongs to winter."
41406,The Lost Hymn,top,top,5,SS,,A,,SS,,A,,A,,,,Black,Silver,,Pigeon,Sacred Heart Rose,TRUE,FALSE,FALSE,"Those people always involuntarily come here, with the last bit of obsession, the pursuit of imaginary relief."
41407,Sacred Heart Rose,top,top,5,S,,A,,SS,,A,,S,,,,Black,Silver,,Pigeon,Sacred Heart Rose,TRUE,FALSE,TRUE,She's the first in the queue of angels to hear - and she's never far away as long as someone is still experiencing pain.
41408,Destiny Written Down,top,top,4,A,,S,,,S,,A,A,,,,White,Brown,,Cloud,Fox Love,TRUE,FALSE,FALSE,The senior has arranged her to travel to various places on earth to gain a better understanding of destiny.
41409,Dream-like Fate,top,top,4,A,,SS,,,S,,B,A,,,,Brown,White,,Cloud,Fox Love,TRUE,FALSE,TRUE,"The fox returns to the clan, takes over the marriage book, and continues to travel on earth. She is still learning."
41410,New Moon Night,top,top,6,SS,,SS,,S,,A,,A,,European,,Blue,White,,Luxury,Luxuriant Night,TRUE,FALSE,FALSE,"On the way to implement the new policy, she fights with all enemies, and declares war with her past."
41411,Acquaintance with Spring Breeze,top,top,5,A,,,A,,SS,,A,SS,,Winter,Chinese Classical,Blue,Silver,,Cloud,Cold Mountain in Spring,TRUE,FALSE,FALSE,"It rains heavily. Pulling over the carriage, the two armed escorts light a fire and gather people around drinking tea."
